endTime,artistName,trackName,msPlayed,Language
6/11/20 22:28,Mac Miller,Vitamins,183135,en
6/11/20 22:31,Elujay,Starchild,190152,en
6/11/20 22:37,"Tyler, The Creator",SMUCKERS (feat. Lil Wayne & Kanye West),334363,en
6/11/20 22:40,Kanye West,Homecoming,203493,en
6/11/20 22:44,Drake,Sandra’s Rose,216333,hr
6/11/20 22:47,"Tyler, The Creator",RUNNING OUT OF TIME,177226,en
6/11/20 22:52,BROCKHAMPTON,SWEET,274274,en
6/11/20 22:54,Mac Miller,Get Up,158178,en
6/11/20 22:58,Billie Eilish,wish you were gay,221543,en
6/11/20 23:02,Khalid,Location,219080,en
6/11/20 23:07,Mac Miller,Brand Name,302133,en
6/11/20 23:11,Mac Miller,100 Grandkids,278506,en
6/11/20 23:14,Vince Staples,Norf Norf,183160,en
6/11/20 23:20,Twista,Slow Jamz,316053,en
6/11/20 23:26,Charles Bradley,Changes,360829,en
6/11/20 23:28,Kudasaibeats,The Girl I Haven't Met (Biskwiq Flip),137618,en
6/11/20 23:53,Pardon My Take,"Blake Griffin, Coach Duggs Chokes, And PFT’s Scott’s Tots",1480913,en
6/12/20 1:44,Mac Miller,Stay,311468,en
6/12/20 1:44,Pardon My Take,We've Lost Control Of The Ship Plus Dungeons and Dragons Continues With Timm Woods,1528512,en
6/12/20 1:49,Daniel Caesar,Get You (feat. Kali Uchis),278180,en
6/12/20 2:01,Kendrick Lamar,"Sing About Me, I'm Dying Of Thirst",723573,en
6/12/20 2:06,Kid Cudi,These Worries,255520,en
6/12/20 2:07,Daniel Caesar,A Cappella,88916,it
6/12/20 2:11,Daniel Caesar,COMPLEXITIES,230585,en
6/12/20 2:17,Citizen Cope,Holdin' On,387360,en
6/12/20 2:20,Mac Miller,Circles,170360,en
6/12/20 2:24,Dre'es,Warm (feat. Mia),255466,en
6/12/20 2:28,Frank Ocean,Thinkin Bout You,200747,en
6/12/20 2:31,Chance the Rapper,Acid Rain,216313,en
6/12/20 2:34,Daniel Caesar,Violet,144000,en
6/12/20 2:39,EARTHGANG,Monday,336980,en
6/12/20 2:43,J. Cole,Love Yourz,211680,en
6/12/20 2:45,XXXTENTACION,Jocelyn Flores,119133,es
6/12/20 2:50,Red Hot Chili Peppers,Scar Tissue,215907,en
6/12/20 2:55,Frank Ocean,Nikes,314075,el
6/12/20 3:01,Tom Misch,Movie,357357,en
6/12/20 3:02,Mac Miller,So It Goes,46589,en
6/12/20 3:04,Mac Miller,So It Goes,170741,en
6/12/20 3:06,Mac Miller,So It Goes,95739,en
6/12/20 3:10,Daniel Caesar,OPEN UP,266227,en
6/12/20 3:15,Mac Miller,Hand Me Downs,298440,en
6/12/20 3:16,Kid Cudi,These Worries,7803,en
6/12/20 3:19,Frank Ocean,Thinkin Bout You,200747,en
6/12/20 3:46,Asher Roth,Something for Nothing (feat. Coyle Girelli),45317,en
6/12/20 4:24,Asher Roth,Something for Nothing (feat. Coyle Girelli),203972,en
6/12/20 4:28,Daniel Caesar,Japanese Denim,224694,en
6/12/20 4:29,Daniel Caesar,Japanese Denim,46496,en
6/12/20 4:29,Mac Miller,Congratulations (feat. Bilal),3456,en
6/12/20 14:05,Poppy Ajudha,David's Song - Tom Misch Remix,252000,en
6/12/20 15:53,Kill Bill: The Rapper,Black Coffee,86593,en
6/12/20 15:55,XXXTENTACION,Jocelyn Flores,119133,es
6/12/20 18:48,Poppy Ajudha,David's Song - Tom Misch Remix,252000,en
6/12/20 18:52,Arctic Monkeys,The Ultracheese,217720,en
6/12/20 18:56,Blu DeTiger,Figure It Out,164317,en
6/12/20 19:04,Kill Bill: The Rapper,Black Coffee,280553,en
6/12/20 19:06,Shy Lennox,Afterblunts,88027,de
6/12/20 19:07,Kota the Friend,Hollywood,3285,en
6/12/20 19:07,Tom Misch,Last 100,68906,en
6/12/20 19:10,Freddie Gibbs,Careless,13827,en
6/12/20 19:10,Biskwiq,Cucumber Water,203859,en
6/12/20 19:13,Kendrick Lamar,Hol' Up,173158,bn
6/12/20 19:14,Roy Blair,FANTAZIA,11749,sq
6/12/20 19:18,Lee Fields & The Expressions,Ladies (Instrumental),257800,en
6/12/20 19:22,Lil Wayne,Drop The World,229226,en
6/12/20 19:25,Two Another,Keeping Me Under,218926,en
6/12/20 19:43,Chance the Rapper,Blessings (feat. Jamila Woods),221939,en
6/12/20 19:47,Frank Ocean,Thinkin Bout You,200746,en
6/12/20 20:01,Mac Miller,I Can See,220853,en
6/12/20 20:04,Billie Eilish,bitches broken hearts,176471,en
6/12/20 20:07,Kendrick Lamar,F*ck Your Ethnicity,224671,en
6/12/20 20:08,Joey Bada$$,Love Is Only a Feeling,9482,en
6/12/20 20:11,Childish Gambino,I. The Worst Guys,219739,en
6/12/20 20:16,Daniel Caesar,Won't Live Here,312114,en
6/12/20 20:23,"Tyler, The Creator",Boredom (feat. Rex Orange County & Anna of the North),320720,en
6/12/20 20:27,Tom Misch,South of the River,269815,en
6/12/20 20:31,Wale,Chillin,204533,en
6/12/20 20:34,Anderson .Paak,Miss Right,198713,en
6/12/20 20:36,BROCKHAMPTON,SWEET,130083,en
6/12/20 20:57,Ask My Bull,Blame Canada,25302,en
6/12/20 21:09,South Park Mexican,I Must Be High,6236,en
6/13/20 0:19,Pardon My Take,We've Lost Control Of The Ship Plus Dungeons and Dragons Continues With Timm Woods,1817472,en
6/13/20 2:06,Pardon My Take,We've Lost Control Of The Ship Plus Dungeons and Dragons Continues With Timm Woods,238654,en
6/13/20 2:25,Pardon My Take,"Judd Apatow, Kentucky Sports Radio, And Lance Armstrong Documentary",566520,en
6/13/20 2:27,Blu DeTiger,Figure It Out,164318,en
6/13/20 2:32,Kill Bill: The Rapper,Black Coffee,280554,en
6/13/20 2:34,Shy Lennox,Afterblunts,145354,de
6/13/20 2:39,Larry Lovestein & The Velvet Revival,A Moment 4 Jazz,5047,en
6/13/20 2:39,Larry Lovestein & The Velvet Revival,A Moment 4 Jazz,5672,en
6/13/20 2:39,Athletic Progression,WHITE CRAYON,244963,en
6/13/20 2:39,Athletic Progression,WHITE CRAYON,8017,en
6/13/20 2:39,OFF BRAND,Why Didn't You Say No?,8273,en
6/13/20 2:43,Larry Lovestein & The Velvet Revival,A Moment 4 Jazz,222999,en
6/13/20 2:57,Myles Jasnowski,Reeeal Niiice,201910,ro
6/13/20 5:47,The Hollywood Band,Blame Canada (South Park),3306,en
6/13/20 5:48,Mazzy Star,Look On Down From The Bridge,1656,en
6/13/20 5:48,The Hollywood Band,Blame Canada (South Park),15662,en
6/13/20 5:54,Drake,Successful (feat. Trey Songz & Lil Wayne),375050,en
6/13/20 6:01,Mac Miller,Fight the Feeling,176166,en
6/13/20 6:04,Billie Eilish,bad guy,194088,en
6/13/20 6:11,Lil Wayne,Scared of the Dark (feat. XXXTENTACION),3978,en
6/13/20 6:13,Lil Wayne,Scared of the Dark (feat. XXXTENTACION),8917,en
6/13/20 6:16,BROCKHAMPTON,BOOGIE,31424,en
6/13/20 6:20,Kanye West,Lift Yourself,83968,en
6/13/20 18:01,Harry Styles,Watermelon Sugar,174000,en
6/13/20 18:04,DaBaby,ROCKSTAR (feat. Roddy Ricch) - BLM REMIX,204547,en
6/13/20 18:07,Lady Gaga,Rain On Me (with Ariana Grande),182200,en
6/13/20 18:11,Dua Lipa,Break My Heart,221820,en
6/13/20 18:13,StaySolidRocky,Party Girl,147800,en
6/13/20 18:17,Beyoncé,Savage Remix (feat. Beyoncé),242001,en
